                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.92391,                0.50783,                0.89838,                0.89661,                0.86314,                0.89847,                0.57449,                 1.0548,                 0.4967,                 1.0013,              0.0001882,              0.0001882,              0.0001882
                    125,                 0.9158,                0.50438,                0.89593,                0.89547,                0.85368,                0.88787,                0.57323,                 1.0461,                0.49688,                 1.0004,              0.0001816,              0.0001816,              0.0001816
                    126,                0.90576,                0.50844,                 0.8938,                0.90071,                0.87145,                0.89786,                0.57215,                 1.0431,                0.49663,                0.99653,               0.000175,               0.000175,               0.000175
                    127,                0.89495,                0.49691,                0.89072,                0.87541,                0.88657,                0.89887,                0.57165,                 1.0421,                0.49585,                0.99505,              0.0001684,              0.0001684,              0.0001684
                    128,                0.89614,                0.49659,                0.89419,                0.90619,                0.86366,                0.90652,                0.57594,                 1.0383,                0.49092,                0.99802,              0.0001618,              0.0001618,              0.0001618
                    129,                0.89715,                0.49839,                 0.8909,                0.89787,                0.84086,                 0.8898,                0.56995,                  1.033,                0.49323,                0.99373,              0.0001552,              0.0001552,              0.0001552
                    130,                0.89263,                0.49866,                0.88729,                0.89985,                0.86483,                0.89742,                 0.5733,                 1.0303,                0.49571,                 0.9927,              0.0001486,              0.0001486,              0.0001486
                    131,                0.88835,                0.49406,                0.88809,                0.91938,                0.85928,                0.90112,                0.57663,                 1.0366,                0.49004,                0.99518,               0.000142,               0.000142,               0.000142
                    132,                0.88918,                0.50237,                0.89185,                0.90633,                0.87197,                0.89681,                0.57044,                  1.027,                0.48652,                0.99387,              0.0001354,              0.0001354,              0.0001354
                    133,                0.87719,                0.49054,                0.88656,                0.91859,                0.86877,                0.90108,                0.58195,                 1.0174,                0.48306,                0.99197,              0.0001288,              0.0001288,              0.0001288
                    134,                0.87449,                0.49058,                0.88631,                0.92706,                0.86759,                0.91098,                0.57474,                 1.0264,                0.48549,                0.99311,              0.0001222,              0.0001222,              0.0001222
                    135,                0.87852,                0.48813,                0.88559,                0.92082,                0.86519,                0.91115,                0.58156,                 1.0169,                0.49312,                0.98579,              0.0001156,              0.0001156,              0.0001156
                    136,                0.87191,                 0.4902,                0.88736,                0.92546,                0.86786,                0.91125,                0.58495,                 1.0181,                0.49162,                0.98552,               0.000109,               0.000109,               0.000109
                    137,                 0.8723,                0.48658,                0.88565,                 0.9095,                0.86419,                0.90684,                0.57793,                 1.0174,                0.49101,                 0.9873,              0.0001024,              0.0001024,              0.0001024
                    138,                0.86717,                0.47954,                0.88462,                0.92405,                0.87938,                0.91562,                0.58349,                 1.0203,                0.48587,                0.99161,               9.58e-05,               9.58e-05,               9.58e-05
                    139,                0.86397,                0.48066,                0.88279,                0.93191,                0.87261,                0.91752,                0.57804,                 1.0176,                0.48284,                0.98899,               8.92e-05,               8.92e-05,               8.92e-05
                    140,                 0.8673,                0.48175,                0.88669,                0.93727,                0.86375,                0.91453,                0.58167,                 1.0156,                0.48443,                 0.9917,               8.26e-05,               8.26e-05,               8.26e-05
                    141,                0.84656,                0.45263,                0.87425,                 0.9032,                0.85262,                0.89911,                0.56724,                 1.0454,                0.49581,                0.99966,                7.6e-05,                7.6e-05,                7.6e-05
                    142,                0.81439,                0.43799,                0.87136,                 0.9183,                0.83889,                0.89923,                0.56421,                 1.0389,                0.49494,                0.99146,               6.94e-05,               6.94e-05,               6.94e-05
                    143,                0.81528,                0.43911,                0.86812,                0.90883,                0.83421,                0.89162,                0.56648,                 1.0331,                0.49571,                0.99445,               6.28e-05,               6.28e-05,               6.28e-05
                    144,                0.80378,                0.43179,                0.86419,                0.92148,                0.83514,                0.89679,                0.56698,                 1.0251,                0.49744,                0.98812,               5.62e-05,               5.62e-05,               5.62e-05
                    145,                0.80133,                0.43189,                0.86377,                0.90709,                0.85186,                 0.9024,                0.57048,                 1.0234,                0.49377,                0.98994,               4.96e-05,               4.96e-05,               4.96e-05
                    146,                    0.8,                0.43156,                 0.8624,                0.89813,                 0.8584,                0.90048,                0.56714,                  1.017,                0.49595,                0.98966,                4.3e-05,                4.3e-05,                4.3e-05
                    147,                0.79229,                0.42837,                0.86382,                0.91397,                0.86447,                0.90185,                0.57266,                 1.0161,                0.49432,                0.98792,               3.64e-05,               3.64e-05,               3.64e-05
                    148,                0.79074,                0.42655,                0.86365,                0.90739,                0.87102,                0.90064,                0.57519,                 1.0122,                0.49038,                0.98896,               2.98e-05,               2.98e-05,               2.98e-05
                    149,                0.79043,                0.42588,                0.86296,                0.90208,                0.87143,                0.90057,                0.57301,                 1.0157,                0.48895,                0.99341,               2.32e-05,               2.32e-05,               2.32e-05
                    150,                0.77714,                0.42139,                  0.863,                0.90108,                0.86929,                0.90149,                0.57328,                 1.0134,                  0.491,                 0.9896,               1.66e-05,               1.66e-05,               1.66e-05
